No errors
No warnings
102 ms
data source=metars
4909 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KLBX 272222Z AUTO 05007KT 10SM BKN015 OVC030 14/11 A3015 RMK AO2 T01440106,KLBX,2025-01-27T22:22:00Z,29.1154,-95.4632,14.4,10.6,50,7,,10+,30.15,,,TRUE,TRUE,,,,,,,BKN,1500,OVC,3000,,,,,MVFR,,,,,,,,,,,,SPECI,4
KCIU 272222Z AUTO 31014KT 1/4SM SN FZFG BKN016 OVC024 M02/M03 A2929 RMK AO2 P0000 FZRANO,KCIU,2025-01-27T22:22:00Z,46.2531,-84.4773,-2,-3,310,14,,0.25,29.29,,,TRUE,TRUE,,,,TRUE,,SN FZFG,BKN,1600,OVC,2400,,,,,LIFR,,,,,,0.005,,,,,,SPECI,242
KATL 272222Z 28007KT 4SM -DZ BR OVC004 10/09 A3005 RMK AO2 CIG 003V005 P0000 T01000089,KATL,2025-01-27T22:22:00Z,33.6297,-84.4422,10,8.9,280,7,,4,30.05,,,,TRUE,,,,,,-DZ BR,OVC,400,,,,,,,LIFR,,,,,,0.005,,,,,,SPECI,309
CYXR 272222Z AUTO 31018G25KT 2 1/2SM -SN OVC034 M08/M11 A2914 RMK VIS VRB 1 1/2-3 PRESRR SLP885,CYXR,2025-01-27T22:22:00Z,47.698,-79.852,-8,-11,310,18,25,2.5,29.14,988.5,,TRUE,,,,,,,-SN,OVC,3400,,,,,,,IFR,,,,,,,,,,,,SPECI,244
CYVM 272222Z AUTO 00000KT 1 1/2SM -SN OVC017 M20/M22 A2942 RMK SLP966,CYVM,2025-01-27T22:22:00Z,67.552,-64.026,-20,-22,0,0,,1.5,29.42,996.6,,TRUE,,,,,,,-SN,OVC,1700,,,,,,,IFR,,,,,,,,,,,,SPECI,3
URMN 272221Z 24001MPS 2000 BR OVC005 00/M00 Q1024 R24/////// TEMPO 0500 FG OVC001 RMK MT OBSC OBST OBSC QFE731,URMN,2025-01-27T22:21:00Z,43.514,43.646,0,0,240,2,,1.24,30.24,,,,,,,,,,BR,OVC,500,,,,,,,IFR,,,,,,,,,,,,SPECI,424
PFZK 272221Z AUTO 23009KT 10SM BKN029 M20/M23 A3004 RMK AO2 FZRANO,PFZK,2025-01-27T22:21:00Z,60.9156,-161.488,-20,-23,230,9,,10+,30.04,,,TRUE,TRUE,,,,TRUE,,,BKN,2900,,,,,,,MVFR,,,,,,,,,,,,SPECI,16
PAHN 272221Z AUTO 09013G20KT 10SM SCT017 BKN060 06/02 A3013 RMK AO2 T00560022 TSNO,PAHN,2025-01-27T22:21:00Z,59.243,-135.511,5.6,2.2,90,13,20,10+,30.13,,,TRUE,TRUE,,,TRUE,,,,SCT,1700,BKN,6000,,,,,VFR,,,,,,,,,,,,SPECI,15
PADU 272221Z 31010KT 1 3/4SM -SN FEW021 SCT025 BKN035 M02/M06 A3024 RMK AO2 SNB18 VIS NE-E 2 W 1/2 NW 1/2 P0000,PADU,2025-01-27T22:21:00Z,53.896,-166.543,-2,-6,310,10,,1.75,30.24,,,,TRUE,,,,,,-SN,FEW,2100,SCT,2500,BKN,3500,,,IFR,,,,,,0.005,,,,,,SPECI,4
KWRB 272221Z AUTO 21003KT 10SM -DZ OVC006 11/09 A3005 RMK AO2 DZE2155DZB12 SLP179,KWRB,2025-01-27T22:21:00Z,32.639,-83.593,11,9,210,3,,10+,30.05,1017.9,,TRUE,TRUE,,,,,,-DZ,OVC,600,,,,,,,IFR,,,,,,,,,,,,SPECI,82
KRYY 272221Z 29008KT 2SM BR OVC007 09/08 A3006 RMK AO2 $,KRYY,2025-01-27T22:21:00Z,34.0146,-84.5964,9,8,290,8,,2,30.06,,,,TRUE,TRUE,,,,,BR,OVC,700,,,,,,,IFR,,,,,,,,,,,,SPECI,306
KCUB 272221Z AUTO 23006KT 10SM OVC009 10/08 A3002 RMK AO2 T01000083,KCUB,2025-01-27T22:21:00Z,33.972,-80.9939,10,8.3,230,6,,10+,30.02,,,TRUE,TRUE,,,,,,,OVC,900,,,,,,,IFR,,,,,,,,,,,,SPECI,55
KAHN 272221Z 25004KT 3SM BR OVC003 09/08 A3002 RMK AO2 T00890078,KAHN,2025-01-27T22:21:00Z,33.9477,-83.3274,8.9,7.8,250,4,,3,30.02,,,,TRUE,,,,,,BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,SPECI,241
CYSM 272221Z 15008G15KT 15SM OVC008 M04/M06 A2934 RMK ST8 PRESFR SLP952,CYSM,2025-01-27T22:21:00Z,60.026,-111.929,-4,-6,150,8,15,15,29.34,995.2,,,,,,,,,,OVC,800,,,,,,,IFR,,,,,,,,,,,,SPECI,203
CYRQ 272221Z AUTO 23026G40KT 2 1/2SM -SN -UP OVC048 00/M06 A2918 RMK VIS VRB 1 1/4-3 SLP886,CYRQ,2025-01-27T22:21:00Z,46.358,-72.68,0,-6,230,26,40,2.5,29.18,988.6,,TRUE,,,,,,,-SN UP,OVC,4800,,,,,,,IFR,,,,,,,,,,,,SPECI,58
CYNA 272221Z AUTO 20019G28KT 2 1/2SM -SNRA BKN022 BKN250 M05/M09 A2933 RMK VIS VRB 1 1/4-3 SLP935,CYNA,2025-01-27T22:21:00Z,50.19,-61.789,-5,-9,200,19,28,2.5,29.33,993.5,,TRUE,,,,,,,-SN -RA,BKN,2200,BKN,25000,,,,,IFR,,,,,,,,,,,,SPECI,9
UWKE 272220Z 24008MPS 4400 -DZ BR OVC003 01/01 Q1014 R21/520240 NOSIG RMK OBST OBSC QFE744/0992,UWKE,2025-01-27T22:20:00Z,55.566,52.1,1,1,240,16,,2.73,29.94,,,,,,TRUE,,,,-DZ BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,SPECI,193
SBSJ 272220Z 19004KT 130V210 2000 RA BKN015 BKN020 22/21 Q1015,SBSJ,2025-01-27T22:20:00Z,-23.229,-45.861,22,21,190,4,,1.24,29.97,,,,,,,,,,RA,BKN,1500,BKN,2000,,,,,IFR,,,,,,,,,,,,SPECI,640
PKWA 272220Z AUTO 06011G19KT 10SM SCT022 SCT030 SCT050 29/23 A2987 RMK AO2 T02870234,PKWA,2025-01-27T22:20:00Z,8.72,167.724,28.7,23.4,60,11,19,10+,29.87,,,TRUE,TRUE,,,,,,,SCT,2200,SCT,3000,SCT,5000,,,VFR,,,,,,,,,,,,METAR,6
PAVC 272220Z AUTO 23007KT 3SM -SN SCT005 BKN036 OVC049 M03/M06 A3014 RMK AO2 FZRANO PNO $,PAVC,2025-01-27T22:20:00Z,55.115,-162.271,-3,-6,230,7,,3,30.14,,,TRUE,TRUE,TRUE,,,TRUE,,-SN,SCT,500,BKN,3600,OVC,4900,,,MVFR,,,,,,,,,,,,SPECI,48
PAHX 272220Z AUTO 21010KT 8SM -SN BKN025 BKN046 M18/M21 A2985 RMK AO2 SNB14 P0000 FZRANO,PAHX,2025-01-27T22:20:00Z,62.688,-159.566,-18,-21,210,10,,8,29.85,,,TRUE,TRUE,,,,TRUE,,-SN,BKN,2500,BKN,4600,,,,,MVFR,,,,,,0.005,,,,,,SPECI,20
PACD 272220Z 30015KT 3/4SM -SN SCT009 BKN021 M04/M07 A3013 RMK AO2 SNE04B14 P0001 T10391067,PACD,2025-01-27T22:20:00Z,55.2207,-162.732,-3.9,-6.7,300,15,,0.75,30.13,,,,TRUE,,,,,,-SN,SCT,900,BKN,2100,,,,,LIFR,,,,,,0.01,,,,,,SPECI,23
NFNL 272220Z 14003KT 8000 -RA SCT025TCU BKN046 OVC100 26/25 Q1011,NFNL,2025-01-27T22:20:00Z,-16.467,179.339,26,25,140,3,,4.97,29.85,,,,,,,,,,-RA,SCT,2500,BKN,4600,OVC,10000,,,MVFR,,,,,,,,,,,,SPECI,17
LWSK 272220Z 03005KT CAVOK 03/01 Q1020 NOSIG,LWSK,2025-01-27T22:20:00Z,41.952,21.627,3,1,30,5,,6+,30.12,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,232
LSZS 272220Z AUTO VRB02KT 7000 -SN OVC009 01/00 Q1002,LSZS,2025-01-27T22:20:00Z,46.526,9.879,1,0,VRB,2,,4.35,29.59,,,TRUE,,,,,,,-SN,OVC,900,,,,,,,IFR,,,,,,,,,,,,METAR,1708
LSZR 272220Z AUTO VRB06KT 9999 FEW100 08/04 Q1003,LSZR,2025-01-27T22:20:00Z,47.485,9.561,8,4,VRB,6,,6+,29.62,,,TRUE,,,,,,,,FEW,10000,,,,,,,VFR,,,,,,,,,,,,METAR,396
LSZL 272220Z AUTO VRB02KT 7000NDV RA FEW005 BKN032 BKN043 03/03 Q1006 RMK,LSZL,2025-01-27T22:20:00Z,46.164,8.878,3,3,VRB,2,,,29.70,,,TRUE,,,,,,,RA,FEW,500,BKN,3200,BKN,4300,,,,,,,,,,,,,,,METAR,198
LSZH 272220Z 16012KT 9999 -RA FEW020 SCT040 BKN065 05/04 Q1002 TEMPO RA,LSZH,2025-01-27T22:20:00Z,47.48,8.536,5,4,160,12,,6+,29.59,,,,,,,,,,-RA,FEW,2000,SCT,4000,BKN,6500,,,VFR,,,,,,,,,,,,METAR,424
LSZG 272220Z AUTO 00000KT 9999 -RA BKN022 BKN027 05/05 Q1002,LSZG,2025-01-27T22:20:00Z,47.179,7.415,5,5,0,0,,6+,29.59,,,TRUE,,,,,,,-RA,BKN,2200,BKN,2700,,,,,MVFR,,,,,,,,,,,,METAR,428
LSZC 272220Z AUTO 20004KT 170V230 9999 -RA BKN046 05/04 Q1003,LSZC,2025-01-27T22:20:00Z,46.972,8.392,5,4,200,4,,6+,29.62,,,TRUE,,,,,,,-RA,BKN,4600,,,,,,,VFR,,,,,,,,,,,,METAR,445
LSZB 272220Z AUTO 16006KT 9999 FEW039 SCT044 BKN050 05/03 Q1002,LSZB,2025-01-27T22:20:00Z,46.914,7.497,5,3,160,6,,6+,29.59,,,TRUE,,,,,,,,FEW,3900,SCT,4400,BKN,5000,,,VFR,,,,,,,,,,,,METAR,510
LSZA 272220Z AUTO VRB02KT 4600 -RA SCT003 SCT005 BKN007 05/05 Q1005,LSZA,2025-01-27T22:20:00Z,46.004,8.91,5,5,VRB,2,,2.86,29.68,,,TRUE,,,,,,,-RA,SCT,300,SCT,500,BKN,700,,,IFR,,,,,,,,,,,,METAR,276
LSME 272220Z AUTO 16003KT 120V210 9999NDV SHRA FEW038 BKN045 BKN052 06/05 Q1003 RMK,LSME,2025-01-27T22:20:00Z,47.092,8.305,6,5,160,3,,,29.62,,,TRUE,,,,,,,SHRA,FEW,3800,BKN,4500,BKN,5200,,,,,,,,,,,,,,,METAR,427
LSMD 272220Z AUTO 21005KT 160V250 9999NDV -SHRA SCT032 BKN037 OVC048 06/04 Q1003 RMK,LSMD,2025-01-27T22:20:00Z,47.399,8.648,6,4,210,5,,,29.62,,,TRUE,,,,,,,-SHRA,SCT,3200,BKN,3700,OVC,4800,,,,,,,,,,,,,,,METAR,436
LSMA 272220Z AUTO VRB02KT 9000NDV SHRA FEW028 BKN043 05/05 Q1003 RMK,LSMA,2025-01-27T22:20:00Z,46.943,8.286,5,5,VRB,2,,,29.62,,,TRUE,,,,,,,SHRA,FEW,2800,BKN,4300,,,,,,,,,,,,,,,,,METAR,441
LSGS 272220Z AUTO VRB02KT 4700 RA BR BKN/// 05/04 Q1004,LSGS,2025-01-27T22:20:00Z,46.219,7.33,5,4,VRB,2,,2.92,29.65,,,TRUE,,,,,,,RA BR,,,,,,,,,IFR,,,,,,,,,,,,METAR,482
LSGG 272220Z AUTO 04006KT 350V080 9999 -RA SCT007 BKN038 07/06 Q1001 NOSIG,LSGG,2025-01-27T22:20:00Z,46.248,6.128,7,6,40,6,,6+,29.56,,,TRUE,,,TRUE,,,,-RA,SCT,700,BKN,3800,,,,,VFR,,,,,,,,,,,,METAR,411
LSGC 272220Z AUTO 26003KT 160V290 9999 BKN036 04/02 Q1000,LSGC,2025-01-27T22:20:00Z,47.083,6.792,4,2,260,3,,6+,29.53,,,TRUE,,,,,,,,BKN,3600,,,,,,,VFR,,,,,,,,,,,,METAR,1018
LLBG 272220Z VRB03KT CAVOK 10/08 Q1020 NOSIG,LLBG,2025-01-27T22:20:00Z,32.011,34.887,10,8,VRB,3,,6+,30.12,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,35
LGRP 272220Z 21005KT 9999 FEW018 14/11 Q1021 NOSIG,LGRP,2025-01-27T22:20:00Z,36.405,28.086,14,11,210,5,,6+,30.15,,,,,,TRUE,,,,,FEW,1800,,,,,,,VFR,,,,,,,,,,,,METAR,3
LGKR 272220Z 00000KT 9999 FEW015 10/09 Q1021 NOSIG,LGKR,2025-01-27T22:20:00Z,39.61,19.913,10,9,0,0,,6+,30.15,,,,,,TRUE,,,,,FEW,1500,,,,,,,VFR,,,,,,,,,,,,METAR,2
LGIR 272220Z 18007KT 9999 FEW020 11/08 Q1022 NOSIG,LGIR,2025-01-27T22:20:00Z,35.337,25.173,11,8,180,7,,6+,30.18,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,37
LGAV 272220Z 00000KT 9999 FEW005 08/06 Q1021 NOSIG,LGAV,2025-01-27T22:20:00Z,37.936,23.945,8,6,0,0,,6+,30.15,,,,,,TRUE,,,,,FEW,500,,,,,,,VFR,,,,,,,,,,,,METAR,83
LATI 272220Z VRB02KT 6000 NSC 07/05 Q1020 NOSIG,LATI,2025-01-27T22:20:00Z,41.419,19.716,7,5,VRB,2,,3.73,30.12,,,,,,TRUE,,,,,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,32
KVCV 272220Z AUTO 29003KT 10SM OVC065 06/M01 A3010 RMK AO2,KVCV,2025-01-27T22:20:00Z,34.5933,-117.389,6,-1,290,3,,10+,30.10,,,TRUE,TRUE,,,,,,,OVC,6500,,,,,,,VFR,,,,,,,,,,,,METAR,871
KQFX 272220Z AUTO 24003G11KT 1600 -SN OVC012 M03/M05 A2992 RMK A02 TSNO,KQFX,2025-01-27T22:20:00Z,-99.99,-99.99,-3,-5,240,3,11,0.99,29.92,,,TRUE,TRUE,,,TRUE,,,-SN,OVC,1200,,,,,,,LIFR,,,,,,,,,,,,METAR,9999
KQFV 272220Z AUTO 26003G10KT 1600 HZ OVC023 M07/M11 A2986 RMK A02 TSNO,KQFV,2025-01-27T22:20:00Z,-99.99,-99.99,-7,-11,260,3,10,0.99,29.86,,,TRUE,TRUE,,,TRUE,,,HZ,OVC,2300,,,,,,,LIFR,,,,,,,,,,,,METAR,9999
KQFU 272220Z AUTO 23003KT 6000 HZ BKN027 OVC049 M06/M10 A2996 RMK A02 TSNO,KQFU,2025-01-27T22:20:00Z,-99.99,-99.99,-6,-10,230,3,,3.73,29.96,,,TRUE,TRUE,,,TRUE,,,HZ,BKN,2700,OVC,4900,,,,,MVFR,,,,,,,,,,,,METAR,9999
KQFT 272220Z AUTO 25003KT 3200 HZ OVC022 M04/M08 A2993 RMK A02 TSNO,KQFT,2025-01-27T22:20:00Z,-99.99,-99.99,-4,-8,250,3,,1.99,29.93,,,TRUE,TRUE,,,TRUE,,,HZ,OVC,2200,,,,,,,IFR,,,,,,,,,,,,METAR,9999
KQFB 272220Z AUTO 28003KT 9999 CLR M02/M09 A3004 RMK A02 TSNO,KQFB,2025-01-27T22:20:00Z,-99.99,-99.99,-2,-9,280,3,,6+,30.04,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,9999
KQEX 272220Z AUTO 04002KT 8000 HZ OVC027 M02/M05 A2989 RMK A02 TSNO,KQEX,2025-01-27T22:20:00Z,-99.99,-99.99,-2,-5,40,2,,4.97,29.89,,,TRUE,TRUE,,,TRUE,,,HZ,OVC,2700,,,,,,,MVFR,,,,,,,,,,,,METAR,9999
KQEW 272220Z AUTO 22003KT 0800 FZFG OVC018 M03/M05 A2995 RMK A02 TSNO,KQEW,2025-01-27T22:20:00Z,-99.99,-99.99,-3,-5,220,3,,0.5,29.95,,,TRUE,TRUE,,,TRUE,,,FZFG,OVC,1800,,,,,,,LIFR,,,,,,,,,,,,METAR,9999
KQEV 272220Z AUTO 26004KT 6000 -SN OVC018 M03/M04 A2996 RMK A02 TSNO,KQEV,2025-01-27T22:20:00Z,-99.99,-99.99,-3,-4,260,4,,3.73,29.96,,,TRUE,TRUE,,,TRUE,,,-SN,OVC,1800,,,,,,,MVFR,,,,,,,,,,,,METAR,9999
KQEQ 272220Z AUTO 24002KT 9999 OVC048 M05/M09 A2997 RMK A02 TSNO,KQEQ,2025-01-27T22:20:00Z,-99.99,-99.99,-5,-9,240,2,,6+,29.97,,,TRUE,TRUE,,,TRUE,,,,OVC,4800,,,,,,,VFR,,,,,,,,,,,,METAR,9999
KQEP 272220Z AUTO 28005KT 1600 -SN OVC016 M05/M05 A2995 RMK A02 TSNO,KQEP,2025-01-27T22:20:00Z,-99.99,-99.99,-5,-5,280,5,,0.99,29.95,,,TRUE,TRUE,,,TRUE,,,-SN,OVC,1600,,,,,,,LIFR,,,,,,,,,,,,METAR,9999
KQEJ 272220Z AUTO 26009G14KT 9999 OVC029 M06/M12 A2980 RMK A02 TSNO,KQEJ,2025-01-27T22:20:00Z,-99.99,-99.99,-6,-12,260,9,14,6+,29.80,,,TRUE,TRUE,,,TRUE,,,,OVC,2900,,,,,,,MVFR,,,,,,,,,,,,METAR,9999
KQEI 272220Z AUTO 20005G12KT 2000 HZ OVC021 M06/M10 A2981 RMK A02 TSNO,KQEI,2025-01-27T22:20:00Z,-99.99,-99.99,-6,-10,200,5,12,1.24,29.81,,,TRUE,TRUE,,,TRUE,,,HZ,OVC,2100,,,,,,,IFR,,,,,,,,,,,,METAR,9999
KPLN 272220Z AUTO 26014G24KT 2 1/2SM -SN FEW010 SCT016 OVC050 01/M02 A2935 RMK AO2 P0000 T00061022,KPLN,2025-01-27T22:20:00Z,45.5644,-84.7929,0.6,-2.2,260,14,24,2.5,29.35,,,TRUE,TRUE,,,,,,-SN,FEW,1000,SCT,1600,OVC,5000,,,IFR,,,,,,0.005,,,,,,SPECI,215
KMCC 272220Z AUTO 30008KT 10SM CLR 17/M02 A3010 RMK AO2 PWINO,KMCC,2025-01-27T22:20:00Z,38.678,-121.403,17,-2,300,8,,10+,30.10,,,TRUE,TRUE,,,,,TRUE,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,21
KJSL 272220Z AUTO 00000KT 10SM CLR 26/15 A3010 RMK A01,KJSL,2025-01-27T22:20:00Z,26.2367,-91.2567,26,15,0,0,,10+,30.10,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,45
KIXA 272220Z AUTO 22005KT 10SM OVC070 08/04 A2995 RMK AO2,KIXA,2025-01-27T22:20:00Z,36.331,-77.6333,8,4,220,5,,10+,29.95,,,TRUE,TRUE,,,,,,,OVC,7000,,,,,,,VFR,,,,,,,,,,,,METAR,43
KFHM 272220Z 14004G07KT 15/05 ,KFHM,2025-01-27T22:20:00Z,34.0677,-118.242,15,5,140,4,7,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,126
KFBG 272220Z AUTO 23005KT 4SM BR OVC005 09/08 A2996 RMK AO2 SLP149 $,KFBG,2025-01-27T22:20:00Z,35.131,-78.932,9,8,230,5,,4,29.96,1014.9,,TRUE,TRUE,TRUE,,,,,BR,OVC,500,,,,,,,IFR,,,,,,,,,,,,SPECI,69
KEQY 272220Z AUTO 23006KT 2 1/2SM BR OVC003 09/08 A2996 RMK AO2 T00890083,KEQY,2025-01-27T22:20:00Z,35.0147,-80.6242,8.9,8.3,230,6,,2.5,29.96,,,TRUE,TRUE,,,,,,BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,SPECI,205
