NOTAM,GUID,Date Issued,Effective Date,Expiration Date,Time Zone,City,Type,Purpose,Timestamp
5_8608,1cd914e0-5839-497e-8fc3-ec0f36bc166a,2025-01-30T19:08:00,2025-01-31T21:15:00,2025-02-02T21:30:00,EST,Cincinnati,91.141,,2025013117
5_7937,d7f4b81f-c3f1-482f-a5ce-5ce988777945,2025-01-29T18:12:00,2025-02-09T04:45:00,2025-02-10T14:15:00,UTC,200NM SE DEADHORSE,91.143,,2025013117
5_7926,2fd35550-51b4-4478-b4a0-4b3dec93559f,2025-01-29T18:10:00,2025-02-09T04:45:00,2025-02-10T14:15:00,UTC,40NM NE FAIRBANKS,91.143,,2025013117
5_7811,a1c0c077-292e-4969-a2b3-a25df0db5857,2025-01-29T12:53:00,2025-01-31T23:30:00,2025-02-02T23:00:00,EST,Palm Beach,91.141,,2025013117
5_7426,80ac67e3-e06b-4193-8767-865cbfdaa6a5,2025-01-28T12:28:00,2025-02-02T16:00:00,2025-02-02T23:00:00,EST,ORLANDO,99.7,,2025013117
5_7221,bcfaa964-98bd-4f55-9e10-375e2e2c4914,2025-01-27T19:16:00,2025-01-28T14:00:00,2025-01-31T23:59:00,UTC,SALT LAKE CITY,91.137(a)(1),,2025013117
5_6729,bceb9e10-9963-4d8e-8f0d-e1be0fe327ee,2025-01-25T22:08:00,2025-01-27T19:00:00,2025-02-02T14:00:00,UTC,GULKANA,91.137(a)(1),,2025013117
5_6651,f011a503-d003-45c7-8846-66127e64249a,2025-01-25T00:29:00,2025-01-26T04:45:00,2025-02-08T14:15:00,UTC,40NM NE FAIRBANKS,91.143,,2025013117
5_6656,12f10245-0bc5-4fbc-bb2f-d1c972a8d525,2025-01-25T00:27:00,2025-01-26T04:45:00,2025-02-08T14:15:00,UTC,200NM SE DEADHORSE,91.143,,2025013117
5_5956,8dbc9c12-d7f1-4c75-a6d6-20e12c4730e8,2025-01-23T11:51:00,2025-01-31T13:00:00,2025-01-31T23:00:00,EST,Mayport,99.7,,2025013117
5_0633,a747aba2-73af-43d3-b3d2-811576e05485,2025-01-06T14:43:00,2025-01-13T11:00:00,2025-12-19T21:00:00,UTC,VIEQUES,91.137(a)(2),TO PROVIDE A SAFE ENVIRONMENT FOR ORDINANCE DISPOSAL OPS,2025013117
5_0542,08fdfe95-d9e8-453d-ba09-cc8c939f8a4d,2025-01-06T01:11:00,2025-01-06T06:01:00,2025-02-07T05:59:00,CST,St Francisville,99.7,,2025013117
5_0276,23a4384a-776f-4a42-98e4-d4670a6ece52,2025-01-02T19:07:00,2025-01-05T00:00:00,2025-07-05T23:59:00,PST,Coyote Wells,99.7,,2025013117
5_0275,a436c373-9b53-4eef-93bc-c557b994276c,2025-01-02T19:04:00,2025-01-05T00:00:00,2025-07-05T23:59:00,PST,Calexico,99.7,,2025013117
4_1526,887afd7d-7695-4e1f-bdce-3b3facc834b3,2024-12-27T13:34:00,2025-01-01T00:00:00,2025-07-01T00:00:00,CST,Brownsville,99.7,,2025013117
4_1529,e16d7314-ffbf-4764-b0d8-dfa18fa11b85,2024-12-27T13:34:00,2025-01-01T00:00:00,2025-07-01T00:00:00,CST,McGregor,99.7,,2025013117
4_1525,ce9b0f06-7cce-460d-afe7-a3132afa7e27,2024-12-27T13:33:00,2025-01-01T00:00:00,2025-07-01T00:00:00,CST,Brownsville,99.7,,2025013117
4_9716,eaf37c4b-8457-4fcb-b1dc-a4bf460b6e3a,2024-12-20T17:53:00,,2025-03-09T07:59:00,CST,Grand Forks AFB,99.7,,2025013117
4_8986,c98edb6d-0eb5-4e0e-9cc6-48b4d7dee860,2024-12-19T18:52:00,2024-12-20T21:00:00,2025-01-31T21:00:00,EST,Bedminster,99.7,,2025013117
4_7364,eb1bc926-6375-4351-91b9-a21c7452ecdd,2024-12-16T15:49:00,2024-12-22T12:00:00,2025-03-09T07:00:00,CST,San Angelo,99.7,,2025013117
4_9672,701cc5f8-b073-4410-b1b9-6c3977cc5aaa,2024-12-01T14:54:00,2024-12-01T15:00:00,,CST,South Padre Island,99.7,,2025013117
4_9271,f693fca1-98cf-4939-a5d2-6dab06ed926b,2024-11-27T18:15:00,,2025-03-09T13:00:00,AKST,CLEAR,99.7,,2025013117
4_8063,cc224b27-643b-454b-bcb4-fbce9890c6c3,2024-11-01T19:18:00,2024-11-03T02:01:00,2025-03-09T03:00:00,AKST,Clear,99.7,,2025013117
4_6447,7aaf4a4d-029f-4837-961e-3bf5edcf433a,2024-10-30T22:47:00,2024-11-03T10:00:00,2025-03-09T09:59:00,PST,Beale AFB,99.7,,2025013117
4_6443,63a794f9-4efc-4a32-8f35-0d7462df51bb,2024-10-30T22:32:00,2024-11-03T10:00:00,2025-03-09T09:59:00,PST,BEALE AFB,99.7,,2025013117
4_6445,d1698e78-6317-4647-9b3d-0ddebbe1ff8d,2024-10-30T22:25:00,2024-11-03T16:00:00,2025-03-09T15:59:00,Guam,Andersen AFB,99.7,,2025013117
4_9433,309dcd7b-5b7f-44a8-b0bb-599abefa34c0,2024-09-03T20:52:00,,,UTC,WASHINGTON DC SPECIAL FLIGHT RULES AREA (SFRA),99.7,,2025013117
4_2565,bc88f9bb-4b2f-443a-98d6-fab58196bf0b,2024-06-24T15:47:00,2024-06-24T16:00:00,,UTC,,99.7,,2025013117
4_1789,f6c281ab-00ef-40a2-b22b-01d8e3a5edf7,2024-06-21T17:30:00,,,UTC,THE LEESBURG MANEUVERING AREA (LMA),99.7,,2025013117
4_9417,c9d66144-ce08-4864-83b6-6a45b63ddc23,2024-05-27T13:48:00,2024-06-01T03:59:00,2025-06-01T03:59:00,EDT,Mar A Lago,99.7,,2025013117
4_7707,e3e0d1b9-03ce-4e2c-b37f-d54a6a11cac0,2024-05-21T21:39:00,2024-05-21T23:59:00,2025-05-22T00:01:00,Guam,S. FINEGAYAN,99.7,,2025013117
3_0104,8b3f5491-8d20-492b-af18-ad6bbe3078a5,2023-10-24T15:24:00,2023-10-29T14:30:00,2025-10-29T14:30:00,UTC,,99.7,,2025013117
3_9568,4f0bbe03-86c3-4959-9488-a73cc472104f,2023-10-23T16:43:00,2023-10-29T14:30:00,2025-10-29T14:30:00,UTC,,99.7,,2025013117
3_2496,42848cb7-a1e2-44ce-a389-c8cdade4fe23,2023-08-28T19:14:00,2023-09-02T11:59:00,2025-09-01T11:59:00,UTC,,99.7,,2025013117
3_6405,d74ae6ba-b71d-4b3d-a8aa-cac5d8ff8a94,2023-05-15T14:18:00,2023-05-20T14:00:00,2025-05-20T14:00:00,UTC,,99.7,,2025013117
3_4452,0eb1b48b-55f2-435d-8c96-a086e219c658,2023-03-08T00:41:00,2023-03-08T00:40:00,2025-03-01T05:00:00,UTC,,99.7,,2025013117
2_8783,cd179feb-5a92-4d0a-bc80-5ed0b5bda5f2,2022-02-28T19:03:00,2022-02-28T19:15:00,,UTC,,99.7,,2025013117
0_0367,b288507f-9263-473d-823b-9b4a785d2009,2020-01-02T23:03:00,2020-01-15T00:01:00,,UTC,,99.7,,2025013117
4_3635,0a2b2400-8ebe-418e-8891-fe4b704f985d,2014-10-27T15:50:00,,,UTC,"DISNEYLAND THEME PARK, ANAHEIM",99.7,,2025013117
4_3634,a3b4391f-b089-4bde-be42-463bcd6ef4b9,2014-10-27T14:57:00,2014-10-27T15:00:00,,UTC,"DISNEY WORLD THEME PARK, ORLANDO",99.7,,2025013117
9_2934,90246eb1-a3fa-4e6a-9d8b-633a42509cc1,2009-01-26T22:13:00,,,CST,Dallas,91.141,,2025013117
